City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Bud,US,2022-06-13 22:37:30,39.447,-86.1758,90.9,74,99,9.93
132,Eureka,US,2022-06-13 22:35:21,40.8021,-124.1637,66.67,66,7,11.01
133,Loreto,MX,2022-06-13 22:37:32,22.2667,-101.9667,84.13,18,53,14.67
134,East London,ZA,2022-06-13 22:37:32,-33.0153,27.9116,77.04,33,100,14.25
135,Paamiut,GL,2022-06-13 22:37:33,61.994,-49.6678,35.91,86,13,33.91
136,Blagodatnoye,RU,2022-06-13 22:37:33,45.3997,42.5867,67.12,51,84,6.38
137,Shirokiy,RU,2022-06-13 22:37:34,49.758,129.523,65.23,84,100,6.46
138,Nelson Bay,AU,2022-06-13 22:38:36,-32.7167,152.15,48.11,96,0,1.99
139,Boa Vista,BR,2022-06-13 22:38:36,2.8197,-60.6733,76.98,83,75,5.75
140,Mogadishu,SO,2022-06-13 22:38:37,2.0371,45.3438,78.55,80,32,18.14
141,Salalah,OM,2022-06-13 22:38:38,17.0151,54.0924,84.29,84,75,5.75
142,Oktyabrskiy,RU,2022-06-13 22:38:38,54.4815,53.471,49.73,85,7,2.71
143,Khapa,IN,2022-06-13 22:38:39,21.4333,78.9667,85.95,63,91,2.19
144,Fortuna,US,2022-06-13 22:33:48,40.5982,-124.1573,62.92,63,40,20.71
145,Okhansk,RU,2022-06-13 22:38:40,57.7186,55.3877,44.67,85,42,1.79
146,Broome,US,2022-06-13 22:38:40,42.2506,-75.833,72.18,59,68,4.0
147,Fairbanks,US,2022-06-13 22:38:08,64.8378,-147.7164,74.08,34,75,6.91
148,Georgetown,MY,2022-06-13 22:34:53,5.4112,100.3354,80.53,93,20,0.0
149,Tigre,AR,2022-06-13 22:38:41,-34.426,-58.5796,57.34,57,0,5.75
150,Teguldet,RU,2022-06-13 22:38:42,57.3064,88.1667,61.21,95,74,4.09
151,Tyssedal,NO,2022-06-13 22:38:43,60.1165,6.562,51.87,99,100,4.14
152,Santa Lucia,ES,2022-06-13 22:38:42,27.9117,-15.5407,63.72,73,20,13.8
153,Douglas,US,2022-06-13 22:38:44,41.3,-96.167,100.58,31,0,18.41
154,Klaksvik,FO,2022-06-13 22:38:44,62.2266,-6.589,49.12,94,100,13.85
155,Hasaki,JP,2022-06-13 22:38:45,35.7333,140.8333,63.28,73,100,15.17
156,Socorro,US,2022-06-13 22:38:46,31.6546,-106.3033,106.07,11,40,11.5
157,Jiuquan,CN,2022-06-13 22:38:46,39.7432,98.5174,64.92,16,0,1.05
158,Asfi,MA,2022-06-13 22:38:30,32.2994,-9.2372,70.05,86,9,11.72
159,Los Llanos De Aridane,ES,2022-06-13 22:38:47,28.6585,-17.9182,67.75,84,100,4.61
160,Cherskiy,RU,2022-06-13 22:38:48,68.75,161.3,65.53,30,15,6.53
161,Prata,BR,2022-06-13 22:38:48,-19.3072,-48.9242,58.98,33,96,6.51
162,Sao Joaquim,BR,2022-06-13 22:38:48,-28.2939,-49.9317,39.63,98,8,3.67
163,Staryy Krym,UA,2022-06-13 22:38:49,45.0333,35.1,65.59,74,14,6.42
164,Bozoum,CF,2022-06-13 22:38:49,6.3193,16.3799,67.35,94,100,2.82
165,Wewak,PG,2022-06-13 22:38:50,-3.5534,143.6268,79.79,82,38,7.81
166,Kuching,MY,2022-06-13 22:38:50,1.55,110.3333,75.42,94,20,1.14
167,Hobyo,SO,2022-06-13 22:38:51,5.3505,48.5268,78.39,82,12,26.84
168,Iqaluit,CA,2022-06-13 22:38:51,63.7506,-68.5145,40.73,75,75,3.44
169,Puerto El Triunfo,SV,2022-06-13 22:34:13,13.2833,-88.55,83.32,81,91,4.14
170,Sumkino,RU,2022-06-13 22:38:53,58.1108,68.3244,49.15,99,100,5.12
171,Burgeo,CA,2022-06-13 22:38:54,47.6167,-57.6152,52.29,90,80,6.02
172,Moose Factory,CA,2022-06-13 22:38:54,51.2585,-80.6094,73.4,46,0,5.75
173,Muscat,OM,2022-06-13 22:34:02,23.6139,58.5922,87.82,77,1,7.23
174,Careiro Da Varzea,BR,2022-06-13 22:38:55,-3.2003,-59.8119,79.43,95,75,2.73
175,Madison Heights,US,2022-06-13 22:38:55,42.4859,-83.1052,81.23,51,0,5.75
176,Nouadhibou,MR,2022-06-13 22:38:56,20.931,-17.0347,69.78,83,0,17.27
177,Uige,AO,2022-06-13 22:38:56,-7.6087,15.0613,62.49,59,100,3.83
178,Mahebourg,MU,2022-06-13 22:38:57,-20.4081,57.7,73.69,64,40,16.11
179,San Patricio,US,2022-06-13 22:38:57,28.017,-97.5169,93.92,52,75,22.73
180,Kalabo,ZM,2022-06-13 22:39:58,-14.97,22.6814,55.56,56,0,2.91
181,Imphal,IN,2022-06-13 22:39:58,24.8167,93.95,70.38,97,100,0.54
182,Nikolskoye,RU,2022-06-13 22:38:58,59.7035,30.7861,53.49,97,45,2.46
183,Celestun,MX,2022-06-13 22:39:59,20.8667,-90.4,85.53,68,69,19.57
184,Clarence Town,AU,2022-06-13 22:40:00,-32.5833,151.7833,47.98,70,0,2.62
185,San Javier,ES,2022-06-13 22:40:01,37.8063,-0.8374,79.21,74,100,4.61
186,Oktyabrskoye,RU,2022-06-13 22:40:02,43.0645,44.7417,59.14,93,99,4.47
187,Severobaykalsk,RU,2022-06-13 22:40:02,55.65,109.3167,53.94,82,58,1.23
188,Khatanga,RU,2022-06-13 22:39:02,71.9667,102.5,53.28,57,94,10.58
189,Dezful,IR,2022-06-13 22:40:03,32.3811,48.4058,92.03,15,0,3.22
190,Gull Lake,CA,2022-06-13 22:40:04,50.1001,-108.4847,58.39,83,100,16.04
191,Lavrentiya,RU,2022-06-13 22:40:04,65.5833,-171.0,38.7,64,100,7.67
192,Bhunya,SZ,2022-06-13 22:40:05,-26.55,31.0167,48.56,45,10,6.06
193,Manjacaze,MZ,2022-06-13 22:40:06,-24.7117,33.8828,61.56,93,0,7.0
194,Melfort,CA,2022-06-13 22:40:06,52.8667,-104.6177,62.73,82,100,5.75
195,Teguise,ES,2022-06-13 22:40:07,29.0605,-13.564,66.42,78,20,12.66
196,Norman Wells,CA,2022-06-13 22:40:07,65.282,-126.8329,53.64,54,40,14.97
197,Meadow Lake,US,2022-06-13 22:40:08,34.8014,-106.5436,93.61,15,93,20.65
198,Antalaha,MG,2022-06-13 22:40:10,-14.9003,50.2788,69.1,90,3,6.04
199,Rawson,AR,2022-06-13 22:40:10,-43.3002,-65.1023,55.08,33,100,4.29
