City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
220,Portland,US,45.5234,-122.6762,73.62,62,20,12.66,few clouds
221,Marienburg,PL,54.0359,19.0266,54.88,85,6,1.43,clear sky
222,Faanui,PF,-16.4833,-151.75,80.26,68,11,9.46,few clouds
223,Selma,US,36.5708,-119.6121,95.05,43,70,7.52,broken clouds
224,Pauini,BR,-7.7136,-66.9764,75.16,82,72,2.19,broken clouds
225,Shar,KZ,49.5886,81.0453,82.9,26,73,11.45,broken clouds
226,Seddon,AU,-37.8068,144.8916,62.96,71,75,17.27,broken clouds
227,Deputatskiy,RU,69.3,139.9,50.32,33,11,18.63,few clouds
228,Agadez,NE,19.75,10.25,86.16,16,1,6.26,clear sky
229,Moose Factory,CA,51.2585,-80.6094,59.0,72,75,6.91,broken clouds
230,Olafsvik,IS,64.8945,-23.7142,42.89,69,78,25.7,broken clouds
231,Skoghall,SE,59.3232,13.4655,55.96,100,20,4.61,few clouds
232,Villarrobledo,ES,39.2699,-2.6012,58.86,60,0,5.68,clear sky
233,Buala,SB,-8.145,159.5921,85.48,67,50,5.61,scattered clouds
234,Lata,PT,40.1629,-8.3327,56.07,97,14,2.42,few clouds
235,Burley,US,42.5357,-113.7928,75.16,35,0,3.0,clear sky
236,Pevek,RU,69.7008,170.3133,44.01,63,100,9.1,overcast clouds
237,Nador,MA,35.174,-2.9287,68.25,68,0,6.91,clear sky
238,Dawei,MM,14.0833,98.2,85.57,68,100,1.59,overcast clouds
239,Ponta Do Sol,PT,32.6667,-17.1,65.03,69,37,5.84,scattered clouds
240,Kuito,AO,-12.3833,16.9333,51.64,67,3,1.88,clear sky
241,Severo-Kurilsk,RU,50.6789,156.125,48.58,86,83,17.36,broken clouds
242,Guarapari,BR,-20.6667,-40.4975,69.89,89,5,8.08,clear sky
243,Srandakan,ID,-7.9386,110.2506,82.42,74,87,15.46,overcast clouds
244,Broken Hill,AU,-31.95,141.4333,62.17,49,34,14.47,scattered clouds
245,Palmares Do Sul,BR,-30.2578,-50.5097,60.76,98,100,3.76,overcast clouds
246,Havoysund,NO,70.9963,24.6622,50.23,68,91,17.72,overcast clouds
247,Wakuya,JP,38.5333,141.1333,66.16,70,100,9.73,light rain
248,Diffa,NE,13.3154,12.6113,85.89,43,86,7.61,overcast clouds
249,Riohacha,CO,11.5444,-72.9072,79.12,84,91,9.53,overcast clouds
250,Saint-Pierre,RE,-21.3393,55.4781,66.9,88,100,8.05,light intensity drizzle rain
251,Ruwi,OM,23.5996,58.5507,91.09,65,10,7.81,clear sky
252,Khani,GE,41.9563,42.9566,56.77,92,59,2.13,broken clouds
253,Husavik,IS,66.0449,-17.3389,39.43,81,100,15.93,overcast clouds
254,Souillac,MU,-20.5167,57.5167,70.18,68,40,6.91,scattered clouds
255,Norman Wells,CA,65.282,-126.8329,75.24,23,40,10.36,scattered clouds
256,Kangalassy,RU,62.3464,129.9628,84.13,36,22,10.56,few clouds
257,Port Macquarie,AU,-31.4333,152.9167,66.88,45,30,3.89,scattered clouds
258,Mtimbira,TZ,-8.7833,36.35,65.77,63,77,3.2,broken clouds
259,Sao Filipe,CV,14.8961,-24.4956,75.42,92,39,5.37,scattered clouds
260,Salekhard,RU,66.53,66.6019,69.64,69,5,10.04,clear sky
261,Vuktyl,RU,63.8567,57.3094,50.79,87,100,6.38,overcast clouds
262,Mumford,GH,5.2618,-0.759,74.23,91,100,4.21,overcast clouds
263,Sinnamary,GF,5.3833,-52.95,77.22,85,25,6.6,scattered clouds
264,Hailar,CN,49.2,119.7,69.03,62,100,6.71,overcast clouds
