City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
222,Faanui,PF,80.26,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
224,Pauini,BR,75.16,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
225,Shar,KZ,82.9,broken clouds,49.5886,81.0453,
228,Agadez,NE,86.16,clear sky,19.75,10.25,
233,Buala,SB,85.48,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
235,Burley,US,75.16,clear sky,42.5357,-113.7928,Fairfield Inn & Suites by Marriott Burley
238,Dawei,MM,85.57,overcast clouds,14.0833,98.2,Hotel Dawei
243,Srandakan,ID,82.42,overcast clouds,-7.9386,110.2506,Puri Brata
248,Diffa,NE,85.89,overcast clouds,13.3154,12.6113,ProDAF/Diffa
249,Riohacha,CO,79.12,overcast clouds,11.5444,-72.9072,Hotel Taroa
255,Norman Wells,CA,75.24,scattered clouds,65.282,-126.8329,Heritage Hotel
256,Kangalassy,RU,84.13,few clouds,62.3464,129.9628,
259,Sao Filipe,CV,75.42,scattered clouds,14.8961,-24.4956,Hotel Xaguate
263,Sinnamary,GF,77.22,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
266,Aleksandrov Gay,RU,76.39,overcast clouds,50.147,48.5704,Gostinitsa
269,Abu Kamal,SY,80.51,clear sky,34.4506,40.9171,البوكمال
270,Shubarshi,KZ,76.19,overcast clouds,48.5872,57.1869,
271,Salalah,OM,82.49,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
272,Mindelo,CV,76.55,broken clouds,16.8901,-24.9804,Hotel Gaudi
275,West Wendover,US,81.61,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
278,Safaga,EG,82.38,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
281,Yook,PH,81.88,overcast clouds,13.2261,121.964,Pielago's Residences
282,Waingapu,ID,84.74,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
283,Kearney,US,75.56,clear sky,40.6995,-99.0815,"Holiday Inn Kearney, an IHG Hotel"
288,Saint Anthony,US,75.92,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
292,Cockburn Town,TC,81.09,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
295,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
296,Hambantota,LK,82.78,overcast clouds,6.1241,81.1185,Bungalow 63
300,Catia La Mar,VE,75.4,scattered clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
301,Brokopondo,SR,76.8,overcast clouds,4.75,-55.1667,Matu Island
304,Matara,LK,80.58,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
306,Panaba,MX,75.67,broken clouds,21.2833,-88.2667,Hotel Don Fernando
307,Abnub,EG,75.04,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
309,Semey,KZ,80.82,clear sky,50.4111,80.2275,Grand Hotel Semey
311,Tambopata,PE,75.18,broken clouds,-12.7333,-69.1833,Enashawa Lodge
316,Nuevo Progreso,MX,76.46,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
